PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	Koval, CA; Bryant, DL; Noble, RD				Koval, CA; Bryant, DL; Noble, RD			Poly(vinyl alcohol)-silver nitrate facilitated transport membranes for benzene/cyclohexane separations.	ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY			English	Meeting Abstract									UNIV COLORADO,DEPT CHEM & BIOCHEM,BOULDER,CO 80309								0	0	0	AMER CHEMICAL SOC	WASHINGTON	1155 16TH ST, NW, WASHINGTON, DC 20036	0065-7727			ABSTR PAP AM CHEM S	Abstr. Pap. Am. Chem. Soc.	SEP 7	1997	214		2				60	PMSE				1	Chemistry, Multidisciplinary	Chemistry	XQ859	WOS:A1997XQ85901322		
J	Oxford, C; Taylor, A; Beitle, RR; Coleman, MR				Oxford, C; Taylor, A; Beitle, RR; Coleman, MR			Effect of chelated metal on amino acid transport in facilitated transport membranes incorporating metal affinity.	ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY			English	Meeting Abstract									UNIV ARKANSAS,DEPT CHEM ENGN,FAYETTEVILLE,AR 72701								0	0	0	AMER CHEMICAL SOC	WASHINGTON	1155 16TH ST, NW, WASHINGTON, DC 20036	0065-7727			ABSTR PAP AM CHEM S	Abstr. Pap. Am. Chem. Soc.	SEP 7	1997	214		2				78	PMSE				1	Chemistry, Multidisciplinary	Chemistry	XQ859	WOS:A1997XQ85901340		
J	Rogers, JD; Long, RL				Rogers, JD; Long, RL			Modeling hollow fiber membrane contactors using film theory, Voronoi tessellations, and facilitation factors for systems with interface reactions	JOURNAL OF MEMBRANE SCIENCE			English	Article						hollow fiber membranes; Voronoi tessellations; facilitation factors; contactors	MICROPOROUS HYDROPHOBIC MEMBRANE; SOLVENT-EXTRACTION; LIQUID MEMBRANES; IMMOBILIZED INTERFACES; TRANSPORT MEMBRANES; SEPARATION; PACKING; DIAGRAM; DISKS; PERMEATOR	A model to evaluate and predict performance of hollow fiber membrane contactor modules is presented for the extraction of compounds with interfacial chemical reactions. The model is based on the film theory approach combined with facilitation factors. Mass transfer coefficients are calculated using published correlations and chemical reaction effects are accounted for by calculated facilitation factors. The shell side flow maldistribution due to random packing of fibers in the module bundle is estimated using Voronoi tessellations and the friction factor-Re. The computer simulation of random packing is accomplished using random sequential addition. The model is correlated with experimental data on the extraction of uranyl nitrate from an acidic aqueous medium into TBP/DIPB extractant. The model correlates experimental data very well for this system. By accounting for the non-linearity of the interfacial effects in this way the rigorous solution of a system of coupled non-linear PDEs may be avoided, but the model can still provide accurate predictive design and analysis information for the system.	NEW MEXICO STATE UNIV,DEPT CHEM ENGN,LAS CRUCES,NM 88003								80	52	59	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0376-7388			J MEMBRANE SCI	J. Membr. Sci.	OCT 15	1997	134	1					1	17		10.1016/S0376-7388(97)00074-4		17	Engineering, Chemical; Polymer Science	Engineering; Polymer Science	XY264	WOS:A1997XY26400001		
J	Sungpet, A; Way, JD; Thoen, PM; Dorgan, JR				Sungpet, A; Way, JD; Thoen, PM; Dorgan, JR			Reactive polymer membranes for ethylene/ethane separation	JOURNAL OF MEMBRANE SCIENCE			English	Article						composite membranes; FTIR spectroscopy; facilitated transport; gas separations; ion-exchange membranes; olefin/paraffin separations	WATER SWOLLEN MEMBRANES; FACILITATED TRANSPORT; NAFION MEMBRANES; SILVER-NITRATE; CARRIER; COMPLEX; ETHANE; ETHENE; FILMS	Olefin/paraffin separations by distillation are highly energy intensive, Facilitated transport, or reactive membranes have long been investigated as an alternative and/or complementary separation technology to conventional distillation, However, stability problems associated with facilitated transport membranes have been the primary obstacle in the development of commercial FT processes. In this paper, we report the development of a polymer membrane containing silver(I) ion that facilitates the transport of ethylene in the absence of solvent. Blends of ionically conductive and electrically conductive polymers were found to have the appropriate electronic environment to allow reaction of silver(I) ion and ethylene. The results for the ethylene/ethane separation were obtained with composite membranes of silver(I)-form Nafion(R) and 2 wt% poly(pyrrole). Permeation measurements were performed with ethylene/ethane mixtures at total feed pressures ranging from 760 to 1900 mmHg and at temperatures of 40 degrees C to 70 degrees C, Pure gas permeability measurements were obtained at a total feed pressure of 1900 mmHg and temperatures of 30 degrees C and 40 degrees C. Ethylene/ethane separation factors with the silver(I)-form Nafion-poly(pyrrole) composite membranes increased from 8 to 15 as temperature decreased. Ethylene permeabilities increased from 0.2 to 1 Barrer over the temperature range of 30 degrees C to 70 degrees C:. An ethylene/ethane mixed gas permeability ratio of about 2 was observed with non-reactive proton-form Nafion-poly(pyrrole) composite membranes, Ethylene permeation measurements as a function of membrane thickness suggested that the facilitated transport of ethylene approached the reaction-limited regime at membrane thickness of 5 mu m. The complexation between ethylene molecules and silver(I) ions in Nafion-poly(pyrrole) composite membrane was observed with FTIR spectroscopy.	COLORADO SCH MINES,DEPT CHEM ENGN & PETR REFINING,GOLDEN,CO 80401								35	26	30	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0376-7388			J MEMBRANE SCI	J. Membr. Sci.	DEC 10	1997	136	1-2					111	120		10.1016/S0376-7388(97)00158-0		10	Engineering, Chemical; Polymer Science	Engineering; Polymer Science	YK275	WOS:A1997YK27500010		
S	Koltover, VK		Harman, D; Holliday, R; Meydani, M		Koltover, VK			The reliability of the mitochondrial electron-transport membranes and implications for aging	TOWARDS PROLONGATION OF THE HEALTHY LIFE SPAN: PRACTICAL APPROACHES TO INTERVENTION	ANNALS OF THE NEW YORK ACADEMY OF SCIENCES		English	Article; Proceedings Paper	Conference on Towards Prolongation of the Healthy Life Span - Practical Approaches to Intervention	AUG 15-18, 1997	ADELAIDE, AUSTRALIA	7th Congress Int Assoc Biomed Gerontol					RAS, Inst Chem Phys, Moscow 142432, Moscow Region, Russia	Koltover, VK (reprint author), RAS, Inst Chem Phys, Moscow 142432, Moscow Region, Russia.							2	0	0	NEW YORK ACAD SCIENCES	NEW YORK	2 EAST 63RD ST, NEW YORK, NY 10021 USA	0077-8923		1-57331-108-1	ANN NY ACAD SCI	Ann.NY Acad.Sci.		1998	854						503	503		10.1111/j.1749-6632.1998.tb09951.x		1	Geriatrics & Gerontology; Multidisciplinary Sciences	Geriatrics & Gerontology; Science & Technology - Other Topics	BM29P	WOS:000078303400067		
J	Li, SW; You, C; Fang, LQ; Yang, WS; Lin, LW; Meng, JA; Ren, YF				Li, SW; You, C; Fang, LQ; Yang, WS; Lin, LW; Meng, JA; Ren, YF			Oxygen permeating properties of the mixed conducting membranes without cobalt	MATERIALS RESEARCH BULLETIN			English	Article						oxides; chemical synthesis; ionic conductivity	REACTORS	A new series of mixed conducting oxides, Sr10-n/2BinFe20Om (n = 4, 6, 8, 10), were synthesized by a solid state reaction method, and they have high oxygen permeability. The oxygen permeation rate at 1150 K is 0.41 ml(STD)/ cm(2).min for n = 6 and 0.90 ml(STD)/cm(2).min for n = 10, which is two times higher than that for Sr1-xBixFeO3 (x = 0.5). For the Sr1-xBixFeO3 (x = 0.1, 0.3, 0.5) series, the oxygen flux increases with increasing Bi content. (C) 1998 Elsevier Science Ltd.	Chinese Acad Sci, Dalian Inst Chem Phys, Dalian 116023, Peoples R China; Acad Sinica, Changchun Inst Appl Chem, Changchun 130022, Peoples R China	Yang, WS (reprint author), Chinese Acad Sci, Dalian Inst Chem Phys, Dalian 116023, Peoples R China.		Yang, Weishen/P-1623-2014	Yang, Weishen/0000-0001-9615-7421				6	16	23	PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND	0025-5408			MATER RES BULL	Mater. Res. Bull.	FEB	1998	33	2					183	188				6	Materials Science, Multidisciplinary	Materials Science	YW047	WOS:000071890300002		
J	Cameron, JH; Graham, S; Harvey, HB; Liggat, JJ; McKee, A; Soutar, I; Scott, EL				Cameron, JH; Graham, S; Harvey, HB; Liggat, JJ; McKee, A; Soutar, I; Scott, EL			Copolymer-supported metal complexes capable of binding dioxygen	REACTIVE & FUNCTIONAL POLYMERS			English	Article						membrane; oxygen binding; facilitated transport; cobalt complex; polymer-supported	MACROCYCLIC COMPLEXES; OXYGEN-BINDING; COBALT; TRANSPORT; CARRIERS; COORDINATION; MEMBRANES; SYSTEMS; LIGANDS; IRON	Polymer-supported cobalt(II) 'lacunar' complexes undergo reversible oxygenation with enhanced stability to autoxidation. The use of copolymer supports containing a donor atom capable of covalently binding to the metal centre allows production of solid state systems that display reversible binding of O-2 With a half life of the order of 30 days. However, these systems do not function as facilitated transport membranes for enhanced dioxygen separation. Scanning electron microscopy studies indicate this is because the copolymer/complex films show phase separation arising from the charged nature of the lacunar complexes. (C) 1998 Elsevier Science B.V. All rights reserved.	Heriot Watt Univ, Dept Chem, Edinburgh EH14 4AS, Midlothian, Scotland; Univ Lancaster, Ctr Polymer, Lancaster LA1 4YA, England	Cameron, JH (reprint author), Heriot Watt Univ, Dept Chem, Edinburgh EH14 4AS, Midlothian, Scotland.							23	2	2	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	1381-5148			REACT FUNCT POLYM	React. Funct. Polym.	MAR	1998	36	2					173	183		10.1016/S1381-5148(97)00106-5		11	Chemistry, Applied; Engineering, Chemical; Polymer Science	Chemistry; Engineering; Polymer Science	ZP218	WOS:000073729700007		
J	Balachandran, U; Ma, B; Maiya, PS; Mieville, RL; Dusek, JT; Picciolo, JJ; Guan, J; Dorris, SE; Liu, M				Balachandran, U; Ma, B; Maiya, PS; Mieville, RL; Dusek, JT; Picciolo, JJ; Guan, J; Dorris, SE; Liu, M			Development of mixed-conducting oxides for gas separation	SOLID STATE IONICS			English	Article; Proceedings Paper	IUMRS-ICA Symposium R on Perovskite-Related Oxides - Preparation, Properties and Perspectives	SEP 16-17, 1997	CHIBA, JAPAN	Int Union Mat Res Soc		mixed-conductor; gas separation; oxygen permeation; proton conduction; ceramic membrane	OXYGEN PERMEATION; SYSTEM	Mixed-conducting oxides have been used in many applications, including fuel cells, gas-separation membranes, sensors, and electrocatalysis. We are developing a mixed-conducting, dense ceramic membrane for selectively transporting oxygen and hydrogen. Ceramic membranes made of Sr-Fe-Co oxide, which has high combined electronic and oxygen ionic conductions, can be used to selectively transport oxygen during the partial oxidation of methane to synthesis gas (syngas, CO + H-2). We have measured the steady-state oxygen permeability of SrFeCo0.5Ox as a function of oxygen partial-pressure gradient and temperature. At 900 degrees C, oxygen permeability was approximate to 2.5 sec cm(-2) min(-1) for a 2.9 mm thick membrane and this value increases as membrane thickness decreases. We have fabricated tubular SrFeCo0.5Ox membranes and operated them at 900 degrees C for > 1000 h during conversion of methane into syngas. The hydrogen ion (proton) transport properties of Ba(Ce,Y)O3-delta were investigated by impedance spectroscopy and open-cell voltage measurements. High proton conductivity and a high protonic transference number make Ba(Ce,Y)O3-delta a potential membrane for hydrogen separation. Published by Elsevier Science B.V.	Argonne Natl Lab, Div Energy Technol, Argonne, IL 60439 USA; Georgia Inst Technol, Sch Mat Sci & Engn, Atlanta, GA 30332 USA	Balachandran, U (reprint author), Argonne Natl Lab, Div Energy Technol, 9700 S Cass Ave, Argonne, IL 60439 USA.	u_balachandran@qmgate.anl.gov	Liu, Meilin/E-5782-2010; Ma, Beihai/I-1674-2013	Liu, Meilin/0000-0002-6188-2372; Ma, Beihai/0000-0003-3557-2773				24	84	89	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0167-2738			SOLID STATE IONICS	Solid State Ion.	MAY	1998	108	1-4					363	370		10.1016/S0167-2738(98)00064-2		8	Chemistry, Physical; Physics, Condensed Matter	Chemistry; Physics	ZP809	WOS:000073790600055		
J	Elhassadi, AA; Do, DD				Elhassadi, AA; Do, DD			Modeling of the mass transfer rates of metal ions across supported liquid membranes. I. Theory	SEPARATION SCIENCE AND TECHNOLOGY			English	Article							COUPLED TRANSPORT MEMBRANES; URANIUM TRANSPORT; TERTIARY AMINE; MECHANISM; EXTRACTION; CARRIER; DILUENT; SLM	This paper deals with the modeling of the transport and separation of metal ions across supported liquid membranes. The mass transfer resistance at the liquid-membrane interfaces and the interfacial chemical reactions at both the extracting side and the stripping side are taken into account in the model equations. Simple analysis of the time scale of the system shows the influence of various important parameters and their interactions on the overall transport rate. Parametric studies are also dealt with in this paper.	Univ Garyounis, Dept Chem, Benghazi, Libya; Univ Queensland, Dept Chem Engn, St Lucia, Qld 4067, Australia	Elhassadi, AA (reprint author), Care of Dardi AM, 42-31 Centennial St, Regina, SK S4S 6P8, Canada.							19	8	8	MARCEL DEKKER INC	NEW YORK	270 MADISON AVE, NEW YORK, NY 10016 USA	0149-6395			SEPAR SCI TECHNOL	Sep. Sci. Technol.		1999	34	2					305	329		10.1081/SS-100100652		25	Chemistry, Multidisciplinary; Engineering, Chemical	Chemistry; Engineering	167XE	WOS:000078659500010		
J	Partridge, AC; Milestone, CB; Too, CO; Wallace, GG				Partridge, AC; Milestone, CB; Too, CO; Wallace, GG			Polypyrrole based cation transport membranes	JOURNAL OF MEMBRANE SCIENCE			English	Article						membrane; polypyrrole; SEM; transport; cation	ELECTROCHEMICALLY CONTROLLED TRANSPORT; 2 ELECTROLYTE-SOLUTIONS; CONDUCTING POLYMERS	It has been recently reported that the cation transport can be induced across a conducting polymer membrane by the application of a potential gradient. As an extension of that work this article, is a part of an ongoing study to look at the effects of altering various parameters employed in the synthesis of the membranes, on the physical characteristics and cation transport properties of the resulting membranes. The results indicated that the optimal film growth was achieved when using a growth temperature at or below 20 degrees C, a current density between 1 and 3 mA/cm(2), and a dopant concentration of 0.1 M. (C) 1999 Elsevier Science B.V. All rights reserved.	Ind Res Ltd, Lower Hutt, New Zealand; Univ Wollongong, Dept Chem, Intelligent Polymer Res Inst, Wollongong, NSW 2522, Australia	Partridge, AC (reprint author), Ind Res Ltd, POB 31-310, Lower Hutt, New Zealand.		Wallace, Gordon/H-1123-2011	Wallace, Gordon/0000-0002-0381-7273				20	31	32	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0376-7388			J MEMBRANE SCI	J. Membr. Sci.	JAN 6	1999	152	1					61	70		10.1016/S0376-7388(98)00193-8		10	Engineering, Chemical; Polymer Science	Engineering; Polymer Science	153AU	WOS:000077811200005		
J	Jirage, KB; Martin, CR				Jirage, KB; Martin, CR			New developments in membrane-based separations	TRENDS IN BIOTECHNOLOGY			English	Article							NANOFILTRATION MEMBRANES; TRANSPORT SELECTIVITY; ENANTIOSELECTIVE PERMEATION; PERVAPORATION SEPARATION; NANOTUBULE MEMBRANES; ION SEPARATION; NANOMATERIALS; GOLD	Recent advances in membrane-based separations include chiral separations, nanofiltration, ion-permselectivity, gas separation and pervaporation. Novel chiral separations using enzymes and chiral surfactants as carrier have been achieved using facilitated-transport membranes. Graft-copolymeric membranes have been constructed that possess pH-controlled ion selectivity, and membranes have been made from gold nanotubules that exhibit electrochemically controlled permselectivity.	Colorado State Univ, Dept Chem, Ft Collins, CO 80523 USA	Jirage, KB (reprint author), Colorado State Univ, Dept Chem, Ft Collins, CO 80523 USA.							32	32	34	ELSEVIER SCIENCE LONDON	LONDON	84 THEOBALDS RD, LONDON WC1X 8RR, ENGLAND	0167-7799			TRENDS BIOTECHNOL	Trends Biotechnol.	MAY	1999	17	5					197	200		10.1016/S0167-7799(98)01296-7		4	Biotechnology & Applied Microbiology	Biotechnology & Applied Microbiology	214LK	WOS:000081329300004	10322444	
J	Elliott, BJ; Willis, WB; Bowman, CN				Elliott, BJ; Willis, WB; Bowman, CN			Polymerization kinetics of pseudocrown ether network formation for facilitated transport membranes	MACROMOLECULES			English	Article							DIVINYL ETHERS; POLYMERS	Pseudocrown ethers were synthesized from the photopolymerization of metal complexes of poly(ethylene glycol 200) diacrylates (PEGB200DA) to yield polymeric networks that can be used in facilitated transport membranes. Metal ions that potentially could be used as molecular templates were screened by first characterizing the polymerization of hydroxyethyl methacrylate (HEMA) in the presence of the metal salts. Thermal polymerizations and phot,polymerizations were used to elucidate which metals adversely effect the polymerization reaction via radical scavenging, chain transfer, light absorption, and other side reactions. HEMA polymerizations were used to investigate these effects because only linear polymers can form, and there will be no rate effects from cyclization. Photopolymerizations of templated PEG200DA exhibited a decrease in autoacceleration as an indication of pseudocrown ether formation due to the reduction in the degree of cross-linking with cyclization. Four metal salts, Co(NO3)(2). 6H(2)O, Ni(NO3)(2).6H2O, Zn(NO3)(2). 6H(2)O, and Cd(NO3)(2). 4H(2)O, were found to make suitable templating ions. Although Cu(NO3)(2).(2.5)H2O and CrCl3. 6H(2)O formed appropriate complexes with PEG200DA, these metals act as radical scavengers and did not permit the desired polymerization. The peak rate was decreased up to 69% for the partially dried Co(II)/PEG200DA complex at a metal concentration of 1.27 M. Facilitated transport membranes exhibited a selectivity of 1.3 for potassium over sodium and 27.5 for potassium over neodymium, and a benchmark comparison was made to an analogous polymer inclusion membrane that contained dibenzo-18-crown-6 as the carrier which had similar selectivities.	Univ Colorado, Dept Chem Engn, Boulder, CO 80309 USA	Bowman, CN (reprint author), Univ Colorado, Dept Chem Engn, Boulder, CO 80309 USA.		Bowman, Christopher/B-1490-2008	Bowman, Christopher/0000-0001-8458-7723				14	19	19	AMER CHEMICAL SOC	WASHINGTON	1155 16TH ST, NW, WASHINGTON, DC 20036 USA	0024-9297			MACROMOLECULES	Macromolecules	MAY 18	1999	32	10					3201	3208		10.1021/ma9816719		8	Polymer Science	Polymer Science	198UD	WOS:000080441900006		
J	Zhao, HB; Li, AW; Gu, JH; Xiong, GX; Brunner, H				Zhao, HB; Li, AW; Gu, JH; Xiong, GX; Brunner, H			A novel preparation method for porous noble metal ceramic catalytic membranes	JOURNAL OF MATERIALS SCIENCE			English	Article							SELECTIVE HYDROGENATION; ALUMINA MEMBRANE; PALLADIUM; REACTOR; SEPARATION; DIFFUSION; GAS	Adsorption at liquid/solid interface has been explored to prepare catalytically active ceramic membranes. Boehmite sol maintains its dynamic stability in the pH range of 3.5-4. Adsorption of metal salt on the sol particles can only be performed in the above pH range, but the adsorption can still be optimized by proper choice of ligand. Therefore, the effect of the ligands (NH3, Cl-, EDTA) on the adsorption of the noble metal ions (Pd(II), Pt(II), Pt(IV) and Rh(lll)) as a function of pH on gamma-Al2O3 particles was studied. Thus the noble metal complexes which can significantly adsorb in the above pH range were found. Using the complexes, the noble metal ion modified boehmite sols were synthesized. Then by the set-gel process, the porous noble metal/ceramic cataytic membranes were prepared. The membranes were further characterized by N-2 adsorption-desorption, scanning electron microscopy (SEM), transmission electron microscopy (TEM) and SEM-WDX (wave dispersion of X-ray). The H-2 and N-2 permeation through these membranes at elevated temperatures was also measured. Based on the above experiments, the novel technique can produce the mesoporous catalytically active ceramic membranes without any defects and with a uniform dispersion of the active materials in the coating. (C) 1999 Kluwer Academic Publishers.	Chinese Acad Sci, Dalian Inst Chem Phys, State Key Lab Catalysis, Dalian 116023, Peoples R China; Fraunhofer Inst Interfacial Engn & Biotechnol, D-70569 Stuttgart, Germany	Xiong, GX (reprint author), Chinese Acad Sci, Dalian Inst Chem Phys, State Key Lab Catalysis, Dalian 116023, Peoples R China.							30	6	6	KLUWER ACADEMIC PUBL	DORDRECHT	SPUIBOULEVARD 50, PO BOX 17, 3300 AA DORDRECHT, NETHERLANDS	0022-2461			J MATER SCI	J. Mater. Sci.	JUN 15	1999	34	12					2987	2996		10.1023/A:1004616309085		10	Materials Science, Multidisciplinary	Materials Science	210ZA	WOS:000081134400031		
J	Elliott, B; Willis, WB; Bowman, CN				Elliott, B; Willis, WB; Bowman, CN			Pseudocrown ethers as fixed-site carriers in facilitated transport membranes.	ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY			English	Meeting Abstract									Univ Colorado, Dept Chem Engn, Boulder, CO 80309 USA			Bowman, Christopher/B-1490-2008	Bowman, Christopher/0000-0001-8458-7723				0	0	0	AMER CHEMICAL SOC	WASHINGTON	1155 16TH ST, NW, WASHINGTON, DC 20036 USA	0065-7727			ABSTR PAP AM CHEM S	Abstr. Pap. Am. Chem. Soc.	AUG 22	1999	218		2			29-MACR	U714	U714				1	Chemistry, Multidisciplinary	Chemistry	226RA	WOS:000082034002163		
J	Rothenberger, KS; Cugini, AV; Siriwardane, RV; Martello, DV; Poston, JA; Fisher, EP; Graham, WJ; Balachandran, U; Dorris, SE				Rothenberger, KS; Cugini, AV; Siriwardane, RV; Martello, DV; Poston, JA; Fisher, EP; Graham, WJ; Balachandran, U; Dorris, SE			Performance testing of hydrogen transport membranes at elevated temperatures and pressures.	ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY			English	Meeting Abstract									US DOE, Fed Energy Technol Ctr, Fuels & Chem Div, Pittsburgh, PA 15236 USA; US DOE, Gaseous Fuels & Gas Cleanup Div, Fed Energy Techol Ctr, Morgantown, WV 26507 USA; US DOE, Fed Energy Technol Ctr, Combust & Cleanup Div, Pittsburgh, PA 15236 USA; Parsons Infrastruct & Technol, Fed Energy Technol Ctr, Library, PA 15129 USA; Argonne Natl Lab, Ceram Sect, Div Energy Technol, Argonne, IL 60439 USA								0	0	0	AMER CHEMICAL SOC	WASHINGTON	1155 16TH ST, NW, WASHINGTON, DC 20036 USA	0065-7727			ABSTR PAP AM CHEM S	Abstr. Pap. Am. Chem. Soc.	AUG 22	1999	218		1			106-FUEL	U634	U635				2	Chemistry, Multidisciplinary	Chemistry	226QZ	WOS:000082033901920		
J	Yamanouchi, S; Okabe, K; Shiotani, M; Sakurai, H				Yamanouchi, S; Okabe, K; Shiotani, M; Sakurai, H			Effects of axial ligands on O-2/N-2 selectivities of facilitated oxygen transport membranes using a cobalt(II) complex	NIPPON KAGAKU KAISHI			Japanese	Article							BINDING	The effects of axial ligands on O-2/N-2 selectivities of oxygen facilitated transport membranes containing a cobalt(II) complex, N,N'-bis (3-methoxysalicylidene)-2-methylpropylenediaminato-cobalt (IT) was investigated,using 4-dimethylaminopyridine (4-DMAP), dimethyl sulfoxide (DMSO) and pyrazine as an axial ligand. The O-2/N-2 selectivities of the membrane with 4-DMAP, DMSO and pyrazine were 160, 3 and 2.2, respectively. The oxygenation rate in the DMSO system and the deoxygenation rate in the pyrazine system were remarkably smaller than those of the other systems. Low O-2/N-2 selectivity in the DMSO system is due to the slow oxygenation of the complex and that in the pyrazine system is attributable to the low deoxygenation rate. Slow oxygenation in the DMSO system may be due to the small overlap of d(z)(2) orbital having an unpaired electron with the antibonding orbital of oxygen.	Sumitomo Elect Ind Ltd, Osaka RD Labs, Konohana Ku, Osaka 5540024, Japan; Hiroshima Univ, Fac Engn, Dept Appl Phys & Chem, Higashihiroshima 7398527, Japan	Yamanouchi, S (reprint author), Sumitomo Elect Ind Ltd, Osaka RD Labs, Konohana Ku, 1-1-3 Shimaya, Osaka 5540024, Japan.							11	0	0	CHEMICAL SOC JAPAN	TOKYO	1-5 KANDA-SURUGADAI CHIYODA-KU, TOKYO, 101, JAPAN	0369-4577			NIPPON KAGAKU KAISHI	Nippon Kagaku Kaishi	SEP	1999		9					595	600				6	Chemistry, Multidisciplinary	Chemistry	240CN	WOS:000082808300005		
S	Oxford, C; Crookston, D; Beitle, RR; Coleman, MR		Pinnau, I; Freeman, BD		Oxford, C; Crookston, D; Beitle, RR; Coleman, MR			Facilitated transport membranes incorporating metal affinity for recovery of amino acids	MEMBRANE FORMATION AND MODIFICATION	ACS SYMPOSIUM SERIES		English	Article; Proceedings Paper	214th National Meeting of the American-Chemical-Society	SEP 07-11, 1997	LAS VEGAS, NEVADA	Amer Chem Soc, Petr Res Fund, Div Geochem, Air Prod & Chem Inc, Daicel Chem Ind Ltd, Amer Chem Soc, Div Polymer Mat Sci & Engn			IMMOBILIZED NICKEL IMINODIACETATE; HISTIDINE-RESIDUES; RECOMBINANT PROTEINS; SURFACE-TOPOGRAPHY; CHELATE ADSORBENT; CHROMATOGRAPHY; PURIFICATION; PEPTIDES; IMAC	Facilitated transport metal affinity membranes that incorporate metal affinity ligands are being investigated as a recovery scheme for specific amino acids (i.e. histidine) and proteins. The inclusion of metal affinity ligands as fixed site carriers within poly(vinyl alcohol) gel membranes resulted in increases in the mass transfer coefficient of histidine and increases in the selectivity of histidine to a noninteracting amino acid control, phenylalanine. Membranes containing chelated Cu+2 or Co+2 exhibited the largest increase in histidine mass transfer rate and those containing Ni+2 or Zn+2 displayed no increase in mass transfer coefficient relative to the control membrane. The effect of chelated metal type on histidine transport was similar to trends exhibited by other metal affinity separation methods.	Univ Arkansas, Dept Chem Engn, Fayetteville, AR 72701 USA	Coleman, MR (reprint author), Univ Toledo, Dept Environm Chem & Engn, 2801 W Bancroft St, Toledo, OH 43606 USA.		Coleman, Maria/H-4761-2013	Coleman, Maria/0000-0002-7347-1618				23	1	1	AMER CHEMICAL SOC	WASHINGTON	1155 SIXTEENTH ST NW, WASHINGTON, DC 20036 USA	0097-6156		0-8412-3604-6	ACS SYM SER			2000	744						238	251				14	Chemistry, Multidisciplinary; Materials Science, Multidisciplinary	Chemistry; Materials Science	BP75U	WOS:000086074800016		
J	Kim, J; Lin, YS				Kim, J; Lin, YS			Synthesis and oxygen permeation properties of ceramic-metal dual-phase membranes	JOURNAL OF MEMBRANE SCIENCE			English	Article						oxygen permeation; bismuth oxide; silver; dual-phase membrane	STABILIZED BISMUTH OXIDE; ZIRCONIA	Percolative and non-percolative fluorite type Bi1.5Y0.3Sm0.2O3 (BYS) and silver dual-phase membranes were prepared by mixing BYS and Ag powders. Oxygen permeation and electric conduction through these BYS/Ag dual-phase membranes were studied in thr temperature range of 650-850 degrees C. The percolative BYS/Ag 40% and non-percolative BYS/Ag 30% membranes exhibit about 50-fold and 10-fold increase, respectively, in oxygen permeation flux compared to BYS membranes. For a 1.3 mm thick BYS/Ag 40% membrane, an oxygen permeation flux of 5.8 x 10(-7) mol/cm(2) s was measured at 850 degrees C with oxygen partial pressures at the feed and permeate sides being 0.21 and 0.009 arm, respectively. The activation energies for oxygen permeation in the temperature range of 650-850"C are 79.30 and 87.30 kT/mol for the BYS/Ag 30% and BYS/Ag 40% membranes, respectively. For the non-percolative BYS/Ag membrane, the presence of Ag enhances the surface reaction rate for oxygen permeation. The continuous silver phase in the percolative BYS/Ag membrane increases both the electronic conductivity and surface reaction rate which result in substantial improvement of oxygen permeance. (C) 2000 Elsevier Science B.V. All rights reserved.	Univ Cincinnati, Dept Chem Engn, Cincinnati, OH 45221 USA	Lin, YS (reprint author), Univ Cincinnati, Dept Chem Engn, Cincinnati, OH 45221 USA.		Lin, Jerry/F-1235-2010; Kim, Jinsoo/G-6348-2012	Kim, Jinsoo/0000-0002-1376-9498				19	37	37	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0376-7388			J MEMBRANE SCI	J. Membr. Sci.	MAR 14	2000	167	1					123	133		10.1016/S0376-7388(99)00273-2		11	Engineering, Chemical; Polymer Science	Engineering; Polymer Science	286ZR	WOS:000085479200009		
